"language","type","CI lower","Optim Par","CI upper","Full Model nLLK","Random Model nLLK"
"English (American)","McRae_PAC_np","-0.009521484375","0.001513671875","0.014013671875","421.028121536853","421.05041606924"
"English (American)","McRae_PAC_p","-0.0103515625","0.000244140625","0.0115234375","460.553774397767","460.55449956821"
"Danish","McRae_PAC_np","-0.0240234375","-0.00625","0.014990234375","287.489610517262","287.634423395652"
"Danish","McRae_PAC_p","-0.01982421875","-0.003173828125","0.0145751953125","315.175803624949","315.224807336158"
"Norwegian","McRae_PAC_np","-0.03037109375","-0.0103515625","0.010205078125","285.655880824619","286.065893252809"
"Norwegian","McRae_PAC_p","-0.02734375","-0.0103515625","0.0068359375","313.244697953022","313.791376967048"
