"age","item","definition","uni_lemma","learned","value"
"19",23,"lav","lion",0,34
"19",24,"leptir","butterfly",0,26
"19",25,"lisica","fox",0,36
"19",27,"magarac","donkey",0,30
"19",31,"miš","mouse",0,32
"19",33,"ovca","sheep",0,31
"19",34,"pas","dog",1,26
"19",35,"patka","duck",0,30
"19",37,"pijetao","rooster",0,35
"19",38,"pile","chicken (animal)",1,39
"19",40,"prase","pig",0,32
"19",44,"slon","elephant",0,34
"19",45,"sova","owl",0,27
"19",47,"tigar","tiger",0,37
"19",48,"vjeverica","squirrel",0,38
"19",49,"vrabac","sparrow",1,27
"19",53,"žaba","frog",0,30
"19",57,"autobus","bus",0,25
"19",58,"avion","airplane",0,38
"19",60,"brod","boat",0,25
"19",62,"kamion","truck",0,20
"19",64,"motor","motorcycle",0,19
"19",66,"traktor","tractor",0,37
"19",69,"vlak","train",0,23
"19",70,"balon","balloon",0,42
"19",74,"igračka","toy (object)",0,4
"19",75,"knjiga","book",0,1
"19",78,"lopatica","shovel",0,15
"19",79,"lopta","ball",1,23
"19",80,"lutka","doll",0,7
"19",97,"grašak","peas",0,31
"19",104,"jabuka","apple",0,19
"19",114,"koka (piletina)","chicken (food)",1,39
"19",116,"kolač","cake",0,14
"19",119,"kruh","bread",0,29
"19",120,"krumpir","potato",0,19
"19",131,"naranča","orange (food)",0,11
"19",144,"sir","cheese",0,30
"19",150,"špinat","spinach",0,15
"19",158,"čizme","boots",0,20
"19",161,"haljina","dress (object)",0,16
"19",162,"hlače","pants",0,33
"19",164,"jakna","jacket",0,16
"19",166,"kaput","coat",0,18
"19",173,"pidžama","pajamas",0,14
"19",176,"rukavice","gloves",0,8
"19",178,"šal","scarf",0,20
"19",212,"boca","bottle",0,16
"19",216,"čekić","hammer",0,27
"19",217,"češalj","comb (object)",0,37
"19",218,"četka","brush (object)",0,21
"19",223,"jastuk","pillow",0,16
"19",231,"kutija","box",0,34
"19",237,"metla","broom",0,26
"19",241,"nož","knife",0,21
"19",243,"radio","radio",0,3
"19",247,"sat","clock",0,11
"19",252,"šalica","cup",0,27
"19",253,"škare","scissors",0,22
"19",254,"tanjur","plate",0,32
"19",255,"telefon","telephone",0,15
"19",257,"vilica","fork",0,19
"19",260,"žlica","spoon",0,24
"19",264,"garaža","garage",0,22
"19",267,"kada (object)","bathtub",0,28
"19",268,"kauč","couch",0,42
"19",271,"krevet","bed",0,12
"19",284,"stol","table",0,36
"19",285,"stolica","chair",0,28
"19",287,"štednjak","stove",0,18
"19",292,"vrata","door",0,20
"19",298,"kamen","rock (object)",0,11
"19",301,"lopata","shovel",0,15
"20",14,"guska","goose",0,40
"20",17,"konj","horse",1,38
"20",19,"koza","goat",0,30
"20",23,"lav","lion",0,34
"20",24,"leptir","butterfly",0,26
"20",25,"lisica","fox",0,36
"20",27,"magarac","donkey",0,30
"20",31,"miš","mouse",1,32
"20",33,"ovca","sheep",0,31
"20",35,"patka","duck",0,30
"20",37,"pijetao","rooster",0,35
"20",40,"prase","pig",0,32
"20",44,"slon","elephant",0,34
"20",45,"sova","owl",0,27
"20",47,"tigar","tiger",0,37
"20",48,"vjeverica","squirrel",0,38
"20",53,"žaba","frog",0,30
"20",57,"autobus","bus",0,25
"20",58,"avion","airplane",0,38
"20",60,"brod","boat",0,25
"20",62,"kamion","truck",0,20
"20",64,"motor","motorcycle",0,19
"20",66,"traktor","tractor",0,37
"20",69,"vlak","train",0,23
"20",70,"balon","balloon",0,42
"20",74,"igračka","toy (object)",0,4
"20",75,"knjiga","book",1,1
"20",78,"lopatica","shovel",0,15
"20",80,"lutka","doll",0,7
"20",97,"grašak","peas",0,31
"20",104,"jabuka","apple",1,19
"20",116,"kolač","cake",0,14
"20",119,"kruh","bread",1,29
"20",120,"krumpir","potato",0,19
"20",131,"naranča","orange (food)",0,11
"20",144,"sir","cheese",0,30
"20",150,"špinat","spinach",0,15
"20",158,"čizme","boots",0,20
"20",161,"haljina","dress (object)",0,16
"20",162,"hlače","pants",0,33
"20",164,"jakna","jacket",1,16
"20",166,"kaput","coat",0,18
"20",173,"pidžama","pajamas",0,14
"20",176,"rukavice","gloves",0,8
"20",178,"šal","scarf",0,20
"20",212,"boca","bottle",0,16
"20",216,"čekić","hammer",0,27
"20",217,"češalj","comb (object)",0,37
"20",218,"četka","brush (object)",0,21
"20",223,"jastuk","pillow",0,16
"20",231,"kutija","box",0,34
"20",237,"metla","broom",0,26
"20",241,"nož","knife",0,21
"20",243,"radio","radio",0,3
"20",247,"sat","clock",1,11
"20",252,"šalica","cup",0,27
"20",253,"škare","scissors",0,22
"20",254,"tanjur","plate",0,32
"20",255,"telefon","telephone",1,15
"20",257,"vilica","fork",0,19
"20",260,"žlica","spoon",1,24
"20",264,"garaža","garage",0,22
"20",267,"kada (object)","bathtub",0,28
"20",268,"kauč","couch",0,42
"20",271,"krevet","bed",0,12
"20",284,"stol","table",0,36
"20",285,"stolica","chair",0,28
"20",287,"štednjak","stove",0,18
"20",292,"vrata","door",1,20
"20",298,"kamen","rock (object)",0,11
"20",301,"lopata","shovel",0,15
"21",14,"guska","goose",0,40
"21",19,"koza","goat",0,30
"21",23,"lav","lion",0,34
"21",24,"leptir","butterfly",0,26
"21",25,"lisica","fox",0,36
"21",27,"magarac","donkey",0,30
"21",33,"ovca","sheep",0,31
"21",35,"patka","duck",1,30
"21",37,"pijetao","rooster",0,35
"21",40,"prase","pig",0,32
"21",44,"slon","elephant",0,34
"21",45,"sova","owl",0,27
"21",47,"tigar","tiger",0,37
"21",48,"vjeverica","squirrel",0,38
"21",53,"žaba","frog",0,30
"21",57,"autobus","bus",0,25
"21",58,"avion","airplane",0,38
"21",60,"brod","boat",0,25
"21",62,"kamion","truck",0,20
"21",64,"motor","motorcycle",0,19
"21",66,"traktor","tractor",0,37
"21",69,"vlak","train",0,23
"21",70,"balon","balloon",1,42
"21",74,"igračka","toy (object)",0,4
"21",78,"lopatica","shovel",0,15
"21",80,"lutka","doll",0,7
"21",97,"grašak","peas",0,31
"21",116,"kolač","cake",0,14
"21",120,"krumpir","potato",0,19
"21",131,"naranča","orange (food)",0,11
"21",144,"sir","cheese",0,30
"21",150,"špinat","spinach",0,15
"21",158,"čizme","boots",0,20
"21",161,"haljina","dress (object)",0,16
"21",162,"hlače","pants",0,33
"21",166,"kaput","coat",0,18
"21",173,"pidžama","pajamas",0,14
"21",176,"rukavice","gloves",0,8
"21",178,"šal","scarf",0,20
"21",212,"boca","bottle",0,16
"21",216,"čekić","hammer",0,27
"21",217,"češalj","comb (object)",0,37
"21",218,"četka","brush (object)",0,21
"21",223,"jastuk","pillow",0,16
"21",231,"kutija","box",0,34
"21",237,"metla","broom",0,26
"21",241,"nož","knife",0,21
"21",243,"radio","radio",0,3
"21",252,"šalica","cup",0,27
"21",253,"škare","scissors",0,22
"21",254,"tanjur","plate",0,32
"21",257,"vilica","fork",0,19
"21",264,"garaža","garage",0,22
"21",267,"kada (object)","bathtub",0,28
"21",268,"kauč","couch",0,42
"21",271,"krevet","bed",0,12
"21",284,"stol","table",0,36
"21",285,"stolica","chair",0,28
"21",287,"štednjak","stove",0,18
"21",298,"kamen","rock (object)",0,11
"21",301,"lopata","shovel",0,15
"22",14,"guska","goose",0,40
"22",19,"koza","goat",0,30
"22",23,"lav","lion",0,34
"22",24,"leptir","butterfly",0,26
"22",25,"lisica","fox",0,36
"22",27,"magarac","donkey",0,30
"22",33,"ovca","sheep",0,31
"22",37,"pijetao","rooster",0,35
"22",40,"prase","pig",0,32
"22",44,"slon","elephant",0,34
"22",45,"sova","owl",0,27
"22",47,"tigar","tiger",0,37
"22",48,"vjeverica","squirrel",0,38
"22",53,"žaba","frog",0,30
"22",57,"autobus","bus",0,25
"22",58,"avion","airplane",1,38
"22",60,"brod","boat",0,25
"22",62,"kamion","truck",0,20
"22",64,"motor","motorcycle",0,19
"22",66,"traktor","tractor",1,37
"22",69,"vlak","train",0,23
"22",74,"igračka","toy (object)",0,4
"22",78,"lopatica","shovel",0,15
"22",80,"lutka","doll",1,7
"22",97,"grašak","peas",0,31
"22",116,"kolač","cake",0,14
"22",120,"krumpir","potato",0,19
"22",131,"naranča","orange (food)",0,11
"22",144,"sir","cheese",0,30
"22",150,"špinat","spinach",0,15
"22",158,"čizme","boots",0,20
"22",161,"haljina","dress (object)",0,16
"22",162,"hlače","pants",0,33
"22",166,"kaput","coat",0,18
"22",173,"pidžama","pajamas",0,14
"22",176,"rukavice","gloves",0,8
"22",178,"šal","scarf",0,20
"22",212,"boca","bottle",0,16
"22",216,"čekić","hammer",0,27
"22",217,"češalj","comb (object)",0,37
"22",218,"četka","brush (object)",0,21
"22",223,"jastuk","pillow",0,16
"22",231,"kutija","box",0,34
"22",237,"metla","broom",0,26
"22",241,"nož","knife",0,21
"22",243,"radio","radio",0,3
"22",252,"šalica","cup",0,27
"22",253,"škare","scissors",0,22
"22",254,"tanjur","plate",0,32
"22",257,"vilica","fork",0,19
"22",264,"garaža","garage",0,22
"22",267,"kada (object)","bathtub",1,28
"22",268,"kauč","couch",0,42
"22",271,"krevet","bed",1,12
"22",284,"stol","table",1,36
"22",285,"stolica","chair",1,28
"22",287,"štednjak","stove",0,18
"22",298,"kamen","rock (object)",0,11
"22",301,"lopata","shovel",0,15
"23",14,"guska","goose",1,40
"23",19,"koza","goat",0,30
"23",23,"lav","lion",1,34
"23",24,"leptir","butterfly",0,26
"23",25,"lisica","fox",0,36
"23",27,"magarac","donkey",0,30
"23",33,"ovca","sheep",0,31
"23",37,"pijetao","rooster",0,35
"23",40,"prase","pig",1,32
"23",44,"slon","elephant",0,34
"23",45,"sova","owl",0,27
"23",47,"tigar","tiger",0,37
"23",48,"vjeverica","squirrel",0,38
"23",53,"žaba","frog",1,30
"23",57,"autobus","bus",0,25
"23",60,"brod","boat",1,25
"23",62,"kamion","truck",1,20
"23",64,"motor","motorcycle",1,19
"23",69,"vlak","train",1,23
"23",74,"igračka","toy (object)",0,4
"23",78,"lopatica","shovel",0,15
"23",97,"grašak","peas",0,31
"23",116,"kolač","cake",1,14
"23",120,"krumpir","potato",0,19
"23",131,"naranča","orange (food)",1,11
"23",144,"sir","cheese",1,30
"23",150,"špinat","spinach",0,15
"23",158,"čizme","boots",0,20
"23",161,"haljina","dress (object)",0,16
"23",162,"hlače","pants",1,33
"23",166,"kaput","coat",0,18
"23",173,"pidžama","pajamas",0,14
"23",176,"rukavice","gloves",0,8
"23",178,"šal","scarf",1,20
"23",212,"boca","bottle",1,16
