"month","item","definition","uni_lemma","learned","value","value2"
17,54,"wolf","wolf",0,1,107
17,56,"airplane","airplane",0,0,382
17,58,"boat","boat",0,3,490
17,59,"bus","bus",0,3,496
17,60,"car","car",0,8,2309
17,66,"tractor","tractor",0,0,324
17,67,"train","train",0,2,904
17,69,"truck","truck",0,2,909
17,71,"balloon","balloon",0,0,307
17,73,"block","block",0,1,272
17,78,"doll","doll",0,0,329
17,81,"pen","pen",0,3,370
17,84,"present","present",0,1,218
17,88,"apple","apple",0,4,433
17,91,"beans","beans",0,0,159
17,92,"bread","bread",0,5,391
17,93,"butter","butter",0,6,430
17,94,"cake","cake",0,3,724
17,95,"candy","candy",0,3,250
17,96,"carrots","carrots",0,0,112
17,97,"cereal","cereal",0,3,179
17,99,"cheese","cheese",0,4,497
17,101,"chocolate","chocolate",0,4,357
17,102,"coffee","coffee",0,2,559
17,104,"cookie","cookie",0,3,390
17,106,"cracker","cracker",0,2,147
17,109,"egg","egg",0,1,375
17,111,"food","food",0,21,613
17,121,"juice","juice",0,1,1082
17,123,"meat","meat",0,5,316
17,125,"milk","milk",0,9,1366
17,138,"potato","potato",0,2,155
17,144,"sandwich","sandwich",0,3,284
17,147,"soup","soup",0,8,234
17,150,"toast","toast",0,3,222
17,159,"boots","boots",0,0,216
17,160,"button","button",0,1,332
17,161,"coat","coat",0,5,484
17,162,"diaper","diaper",0,0,162
17,165,"hat","hat",0,3,967
17,166,"jacket","jacket",0,4,180
17,170,"pajamas","pajamas",0,0,114
17,171,"pants","pants",0,3,401
17,173,"shirt","shirt",0,4,523
17,180,"sweater","sweater",0,4,126
17,185,"arm","arm",0,4,268
17,190,"ear","ear",0,3,225
17,191,"eye","eye",0,5,296
17,192,"face","face",0,5,683
17,193,"finger","finger",0,3,503
17,194,"foot","foot",0,5,547
17,195,"hair","hair",0,3,1305
17,196,"hand","hand",0,4,1291
17,197,"head","head",0,8,1282
17,198,"knee","knee",0,1,172
17,199,"leg","leg",0,5,276
17,201,"mouth","mouth",0,3,1081
17,202,"nose","nose",0,7,897
17,206,"toe","toe",0,3,101
17,207,"tongue","tongue",0,1,208
17,212,"blanket","blanket",0,2,140
17,213,"bottle","bottle",0,2,385
17,214,"bowl","bowl",0,4,236
17,215,"box","box",0,6,1342
17,216,"broom","broom",0,0,117
17,219,"camera","camera",0,1,107
17,221,"clock","clock",0,0,251
17,223,"cup","cup",0,4,851
17,225,"fork","fork",0,3,161
17,227,"glass","glass",0,4,292
17,228,"glasses","glasses",0,1,177
17,229,"hammer","hammer",0,0,127
17,231,"keys","keys",0,0,160
17,232,"knife","knife",0,5,140
17,234,"light","light",0,4,569
17,235,"medicine","medicine",0,1,128
17,236,"money","money",0,5,628
17,240,"paper","paper",0,7,1065
17,241,"penny","penny",0,0,129
17,242,"picture","picture",0,1,881
17,243,"pillow","pillow",0,2,120
17,244,"plant","plant",0,2,118
17,245,"plate","plate",0,1,348
17,247,"radio","radio",0,1,145
17,248,"scissors","scissors",0,0,192
17,249,"soap","soap",0,3,119
17,250,"spoon","spoon",0,6,381
17,252,"telephone","telephone",0,0,297
17,253,"tissue","tissue",0,0,104
17,255,"towel","towel",0,1,138
17,262,"bathroom","bathroom",0,5,340
17,263,"bathtub","bathtub",0,1,132
17,264,"bed","bed",0,7,1767
17,265,"bedroom","bedroom",0,3,244
17,267,"chair","chair",0,4,1309
17,268,"closet","closet",0,3,114
17,269,"couch","couch",0,1,141
17,271,"door","door",0,7,1349
17,272,"drawer","drawer",0,1,112
17,274,"garage","garage",0,0,174
17,276,"kitchen","kitchen",0,2,480
17,278,"oven","oven",0,3,119
17,283,"refrigerator","refrigerator",0,0,167
17,284,"room","room",0,4,1490
17,286,"sink","sink",0,3,156
17,288,"stairs","stairs",0,0,228
17,289,"stove","stove",0,4,118
17,290,"table","table",0,4,1407
17,292,"window","window",0,3,518
17,297,"flower","flower",0,4,184
17,298,"garden","garden",0,3,208
17,299,"grass","grass",0,1,224
17,301,"ladder","ladder",0,1,143
17,303,"moon","moon",0,3,167
17,304,"pool","pool",0,0,149
17,305,"rain","rain",0,5,184
17,307,"roof","roof",0,1,163
17,311,"sky","sky",0,4,172
17,313,"snow","snow",0,4,421
17,316,"star","star",0,3,175
17,317,"stick","stick",0,1,493
17,319,"street","street",0,2,451
17,320,"sun","sun",0,8,269
17,322,"tree","tree",0,10,870
17,324,"wind","wind",0,0,257
18,14,"animal","animal",0,20,284
18,16,"bear","bear",1,3,522
18,18,"bird","bird",1,7,730
18,19,"bug","bug",0,2,138
18,20,"bunny","bunny",0,1,588
18,21,"butterfly","butterfly",0,0,100
18,22,"cat","cat",1,9,1026
18,24,"cow","cow",0,5,663
18,27,"donkey","donkey",0,1,151
18,29,"elephant","elephant",0,1,372
18,31,"frog","frog",0,0,268
18,32,"giraffe","giraffe",0,1,126
18,35,"horse","horse",0,4,938
18,37,"lamb","lamb",0,1,140
18,38,"lion","lion",0,3,404
18,39,"monkey","monkey",0,2,380
18,41,"mouse","mouse",0,3,440
18,44,"pig","pig",0,2,405
18,46,"puppy","puppy",0,2,124
18,48,"sheep","sheep",0,1,192
18,51,"tiger","tiger",0,3,1049
18,52,"turkey","turkey",0,1,113
18,53,"turtle","turtle",0,0,243
18,54,"wolf","wolf",0,1,107
18,56,"airplane","airplane",0,0,382
18,58,"boat","boat",0,3,490
18,59,"bus","bus",0,3,496
18,60,"car","car",1,8,2309
18,66,"tractor","tractor",0,0,324
18,67,"train","train",0,2,904
18,69,"truck","truck",1,2,909
18,71,"balloon","balloon",1,0,307
18,73,"block","block",0,1,272
18,78,"doll","doll",0,0,329
18,81,"pen","pen",0,3,370
18,84,"present","present",0,1,218
18,88,"apple","apple",1,4,433
18,91,"beans","beans",0,0,159
18,92,"bread","bread",0,5,391
18,93,"butter","butter",0,6,430
18,94,"cake","cake",0,3,724
18,95,"candy","candy",0,3,250
18,96,"carrots","carrots",0,0,112
18,97,"cereal","cereal",0,3,179
18,99,"cheese","cheese",1,4,497
18,101,"chocolate","chocolate",0,4,357
18,102,"coffee","coffee",0,2,559
18,104,"cookie","cookie",1,3,390
18,106,"cracker","cracker",0,2,147
18,109,"egg","egg",0,1,375
18,111,"food","food",0,21,613
18,121,"juice","juice",1,1,1082
18,123,"meat","meat",0,5,316
18,125,"milk","milk",1,9,1366
18,138,"potato","potato",0,2,155
18,144,"sandwich","sandwich",0,3,284
18,147,"soup","soup",0,8,234
18,150,"toast","toast",0,3,222
18,159,"boots","boots",0,0,216
18,160,"button","button",0,1,332
18,161,"coat","coat",0,5,484
18,162,"diaper","diaper",0,0,162
18,165,"hat","hat",1,3,967
18,166,"jacket","jacket",0,4,180
18,170,"pajamas","pajamas",0,0,114
18,171,"pants","pants",0,3,401
18,173,"shirt","shirt",0,4,523
18,180,"sweater","sweater",0,4,126
18,185,"arm","arm",0,4,268
18,190,"ear","ear",1,3,225
18,191,"eye","eye",1,5,296
18,192,"face","face",0,5,683
18,193,"finger","finger",0,3,503
18,194,"foot","foot",0,5,547
18,195,"hair","hair",0,3,1305
18,196,"hand","hand",0,4,1291
18,197,"head","head",0,8,1282
18,198,"knee","knee",0,1,172
18,199,"leg","leg",0,5,276
18,201,"mouth","mouth",0,3,1081
18,202,"nose","nose",1,7,897
18,206,"toe","toe",0,3,101
18,207,"tongue","tongue",0,1,208
18,212,"blanket","blanket",0,2,140
18,213,"bottle","bottle",0,2,385
18,214,"bowl","bowl",0,4,236
18,215,"box","box",0,6,1342
18,216,"broom","broom",0,0,117
18,219,"camera","camera",0,1,107
18,221,"clock","clock",0,0,251
18,223,"cup","cup",0,4,851
18,225,"fork","fork",0,3,161
18,227,"glass","glass",0,4,292
18,228,"glasses","glasses",0,1,177
18,229,"hammer","hammer",0,0,127
18,231,"keys","keys",0,0,160
18,232,"knife","knife",0,5,140
18,234,"light","light",0,4,569
18,235,"medicine","medicine",0,1,128
18,236,"money","money",0,5,628
18,240,"paper","paper",0,7,1065
18,241,"penny","penny",0,0,129
18,242,"picture","picture",0,1,881
18,243,"pillow","pillow",0,2,120
18,244,"plant","plant",0,2,118
18,245,"plate","plate",0,1,348
18,247,"radio","radio",0,1,145
18,248,"scissors","scissors",0,0,192
18,249,"soap","soap",0,3,119
18,250,"spoon","spoon",0,6,381
18,252,"telephone","telephone",0,0,297
18,253,"tissue","tissue",0,0,104
18,255,"towel","towel",0,1,138
18,262,"bathroom","bathroom",0,5,340
18,263,"bathtub","bathtub",0,1,132
18,264,"bed","bed",0,7,1767
18,265,"bedroom","bedroom",0,3,244
18,267,"chair","chair",0,4,1309
18,268,"closet","closet",0,3,114
18,269,"couch","couch",0,1,141
18,271,"door","door",0,7,1349
18,272,"drawer","drawer",0,1,112
18,274,"garage","garage",0,0,174
18,276,"kitchen","kitchen",0,2,480
18,278,"oven","oven",0,3,119
18,283,"refrigerator","refrigerator",0,0,167
18,284,"room","room",0,4,1490
18,286,"sink","sink",0,3,156
18,288,"stairs","stairs",0,0,228
18,289,"stove","stove",0,4,118
18,290,"table","table",0,4,1407
18,292,"window","window",0,3,518
18,297,"flower","flower",0,4,184
18,298,"garden","garden",0,3,208
18,299,"grass","grass",0,1,224
18,301,"ladder","ladder",0,1,143
18,303,"moon","moon",0,3,167
18,304,"pool","pool",0,0,149
18,305,"rain","rain",0,5,184
18,307,"roof","roof",0,1,163
18,311,"sky","sky",0,4,172
18,313,"snow","snow",0,4,421
18,316,"star","star",0,3,175
18,317,"stick","stick",0,1,493
18,319,"street","street",0,2,451
18,320,"sun","sun",0,8,269
18,322,"tree","tree",0,10,870
18,324,"wind","wind",0,0,257
19,14,"animal","animal",0,20,284
19,19,"bug","bug",0,2,138
19,20,"bunny","bunny",0,1,588
19,21,"butterfly","butterfly",0,0,100
19,24,"cow","cow",1,5,663
19,27,"donkey","donkey",0,1,151
19,29,"elephant","elephant",0,1,372
19,31,"frog","frog",0,0,268
19,32,"giraffe","giraffe",0,1,126
19,35,"horse","horse",0,4,938
19,37,"lamb","lamb",0,1,140
19,38,"lion","lion",0,3,404
19,39,"monkey","monkey",0,2,380
19,41,"mouse","mouse",0,3,440
19,44,"pig","pig",0,2,405
19,46,"puppy","puppy",0,2,124
19,48,"sheep","sheep",0,1,192
19,51,"tiger","tiger",0,3,1049
19,52,"turkey","turkey",0,1,113
19,53,"turtle","turtle",0,0,243
19,54,"wolf","wolf",0,1,107
19,56,"airplane","airplane",0,0,382
19,58,"boat","boat",0,3,490
19,59,"bus","bus",0,3,496
19,66,"tractor","tractor",0,0,324
19,67,"train","train",0,2,904
19,73,"block","block",0,1,272
19,78,"doll","doll",0,0,329
19,81,"pen","pen",0,3,370
19,84,"present","present",0,1,218
19,91,"beans","beans",0,0,159
19,92,"bread","bread",0,5,391
19,93,"butter","butter",0,6,430
19,94,"cake","cake",0,3,724
19,95,"candy","candy",0,3,250
19,96,"carrots","carrots",0,0,112
19,97,"cereal","cereal",0,3,179
19,101,"chocolate","chocolate",0,4,357
19,102,"coffee","coffee",0,2,559
19,106,"cracker","cracker",1,2,147
19,109,"egg","egg",0,1,375
19,111,"food","food",0,21,613
19,123,"meat","meat",0,5,316
19,138,"potato","potato",0,2,155
19,144,"sandwich","sandwich",0,3,284
19,147,"soup","soup",0,8,234
19,150,"toast","toast",0,3,222
19,159,"boots","boots",0,0,216
19,160,"button","button",0,1,332
19,161,"coat","coat",0,5,484
19,162,"diaper","diaper",1,0,162
19,166,"jacket","jacket",0,4,180
19,170,"pajamas","pajamas",0,0,114
19,171,"pants","pants",0,3,401
19,173,"shirt","shirt",0,4,523
19,180,"sweater","sweater",0,4,126
19,185,"arm","arm",0,4,268
19,192,"face","face",0,5,683
19,193,"finger","finger",0,3,503
19,194,"foot","foot",0,5,547
19,195,"hair","hair",1,3,1305
19,196,"hand","hand",0,4,1291
19,197,"head","head",0,8,1282
19,198,"knee","knee",0,1,172
19,199,"leg","leg",0,5,276
19,201,"mouth","mouth",1,3,1081
19,206,"toe","toe",0,3,101
19,207,"tongue","tongue",0,1,208
19,212,"blanket","blanket",0,2,140
19,213,"bottle","bottle",1,2,385
19,214,"bowl","bowl",0,4,236
19,215,"box","box",0,6,1342
19,216,"broom","broom",0,0,117
19,219,"camera","camera",0,1,107
19,221,"clock","clock",0,0,251
19,223,"cup","cup",1,4,851
19,225,"fork","fork",0,3,161
19,227,"glass","glass",0,4,292
19,228,"glasses","glasses",0,1,177
19,229,"hammer","hammer",0,0,127
19,231,"keys","keys",0,0,160
19,232,"knife","knife",0,5,140
19,234,"light","light",0,4,569
19,235,"medicine","medicine",0,1,128
19,236,"money","money",0,5,628
19,240,"paper","paper",0,7,1065
19,241,"penny","penny",0,0,129
19,242,"picture","picture",0,1,881
19,243,"pillow","pillow",0,2,120
19,244,"plant","plant",0,2,118
19,245,"plate","plate",0,1,348
19,247,"radio","radio",0,1,145
19,248,"scissors","scissors",0,0,192
19,249,"soap","soap",0,3,119
19,250,"spoon","spoon",1,6,381
19,252,"telephone","telephone",0,0,297
19,253,"tissue","tissue",0,0,104
19,255,"towel","towel",0,1,138
