"item","definition","uni_lemma","type","IPA"
201,"munn","mouth","word"," mˈʉn"
202,"navle","belly button","word"," nˈɑvla"
203,"nese","nose","word"," nˈeːsa"
204,"øre","ear","word"," ˈøːra"
205,"øye","eye","word"," ˈøya"
210,"tenner","tooth","word"," tˈɛnnər"
211,"tiss","penis","word"," tˈɪs"
212,"tunge","tongue","word"," tˈʉŋa"
213,"tå","toe","word"," tˈoː"
214,"bilde","picture","word"," bˈɪlla"
216,"børste","brush (object)","word"," bˈœrʃta"
219,"briller","glasses","word"," brˈɪllər"
221,"dyne","blanket","word"," dˈyːna"
222,"eske","box","word"," ˈɛska"
224,"flaske","bottle","word"," flˈɑska"
226,"gaffel","fork","word"," ɡˈɑffəl"
227,"glass","glass","word"," ɡlˈɑs"
228,"hammer","hammer","word"," hˈɑmmər"
229,"håndkle","towel","word"," hˈɔnnkla"
230,"kam","comb (object)","word"," kˈam"
234,"klokke","clock","word"," klˈɔkːa"
235,"kniv","knife","word"," knˈiːv"
236,"kopp","cup","word"," kˈɔpː"
237,"kost","broom","word"," kˈʊst"
240,"lampe","lamp","word"," lˈɑmpa"
241,"lommebok","purse","word"," lˈɔmmeːbˌuːk"
242,"lys","light","word"," lˈyːs"
243,"medisin","medicine","word"," mˈeːdiːsˌiːn"
244,"nøkler","keys","word"," nˈœklər"
245,"papir","paper","word"," pˈapiːr"
246,"penger","money","word"," pˈɛŋər"
247,"plante","plant","word"," plˈɑnta"
248,"pute","pillow","word"," pˈʉːta"
249,"radio","radio","word"," rˈadiːˌuː"
250,"saks","scissors","word"," sˈɑks"
251,"såpe","soap","word"," sˈoːpa"
254,"skål","bowl","word"," skˈoːl"
255,"skje","spoon","word"," ʃˈeː"
256,"søppel","trash","word"," sˈœpːəl"
258,"støvsuger","vacuum","word"," stˈœvsʉːɡər"
259,"tallerken","plate","word"," tˈɑllarkən"
260,"tannbørste","toothbrush","word"," tˈɑnbœrʃta"
261,"telefon","telephone","word"," tˈeːleːfˌuːn"
262,"teppe","blanket","word"," tˈɛpːa"
263,"veske","purse","word"," vˈɛska"
264,"bad","bathroom","word"," bˈad"
265,"badekar","bathtub","word"," bˈadeːkˌar"
268,"barnestol","high chair","word"," bˈɑrnəstˌuːl"
269,"bord","table","word"," bˈuːr"
271,"dør","door","word"," dˈøːr"
273,"garasje","garage","word"," ɡˈarɑʃa"
274,"gyngestol","rocking chair","word"," jˈyŋəstˌuːl"
276,"kjøkken","kitchen","word"," xˈœkːən"
277,"kjøleskap","refrigerator","word"," xˈøːləskˌap"
278,"komfyr","stove","word"," kˈɔmfyːr"
279,"lekegrind","play pen","word"," lˈeːkəɡrˌɪnn"
280,"ovn","oven","word"," ˈɔvn"
282,"potte","potty","word"," pˈɔtːa"
284,"seng","bed","word"," sˈɛŋ"
286,"skuff","drawer","word"," skˈʉff"
287,"sofa","couch","word"," sˈuːfɑ"
288,"soverom","bedroom","word"," sˈuːveːrˌuːm"
289,"stol","chair","word"," stˈuːl"
290,"stue","living room","word"," stˈʉːa"
293,"trapp","stairs","word"," trˈɑpː"
294,"TV","tv","word"," tˌeːvˈeː"
295,"vask","sink","word"," vˈɑsk"
297,"vindu","window","word"," vˈɪnnʉː"
300,"blomst","flower","word"," blˈɔmst"
306,"himmel","sky","word"," hˈɪmməl"
307,"huske","swing (object)","word"," hˈʉska"
309,"måne","moon","word"," mˈoːna"
311,"regn","rain","word"," rˈɛŋn"
313,"sklie","slide (object)","word"," sklˈiːa"
315,"snø","snow","word"," snˈøː"
317,"sol","sun","word"," sˈuːl"
318,"spade","shovel","word"," spˈada"
319,"steiner","rock (object)","word"," stˈaɪnər"
321,"stjerner","star","word"," sʂˈarnər"
324,"tre","tree","word"," trˈeː"
325,"vann","water (not beverage)","word"," vˈɑn"
331,"butikk","store","word"," bˈʉːtɪkː"
334,"dyrehage","zoo","word"," dˈyːreːhˌaɡa"
335,"fest","party","word"," fˈɛst"
336,"hage","garden","word"," hˈaɡa"
337,"hjem","home","word"," jˈɛm"
338,"hus","house","word"," hˈʉːs"
339,"jobb","work (place)","word"," jˈɔbː"
341,"kirke","church","word"," xˈɪrka"
344,"park","park","word"," pˈɑrk"
347,"skole","school","word"," skˈuːla"
348,"strand","beach","word"," strˈɑnn"
349,"svømmehall","pool","word"," svˈœmmeːhˌɑl"
351,"baby","baby","word"," bˈabyː"
352,"barn","child","word"," bˈɑrn"
353,"barnets navn","child's own name","word"," bˈɑrnɛts nˈɑvn"
