"item","definition","uni_lemma","type","IPA"
210,"zub","tooth","word"," zˈub"
211,"biljka","plant","word"," bˈiʎkæ"
212,"boca","bottle","word"," bˈotsæ"
213,"bočica","pacifier","word"," bˈotʃɪtsæ"
214,"čaša","glass","word"," tʃˈaʃæ"
216,"čekić","hammer","word"," tʃˈɛkɪtɕ"
217,"češalj","comb (object)","word"," tʃˈɛʃæʎ"
218,"četka","brush (object)","word"," tʃˈɛtkæ"
219,"četkica za zube","toothbrush","word"," tʃˈɛtkɪtsæ zˈa zˈubɛ"
220,"deka","blanket","word"," dˈɛkæ"
223,"jastuk","pillow","word"," jˈastʊk"
227,"ključevi","keys","word"," kʎˈutʃɛvɪ"
231,"kutija","box","word"," kˈutɪjæ"
233,"lijek","medicine","word"," lˈijek"
237,"metla","broom","word"," mˈɛtlæ"
238,"naočale","glasses","word"," nˈaotʃˌælɛ"
239,"novac","money","word"," nˈovæts"
240,"novčanik","purse","word"," nˈovtʃænɪk"
241,"nož","knife","word"," nˈoʒ"
242,"papir","paper","word"," pˈapɪr"
243,"radio","radio","word"," ɾˈadɪo"
244,"ručnik","towel","word"," ɾˈutʃnɪk"
246,"sapun","soap","word"," sˈapʊn"
247,"sat","clock","word"," sˈat"
248,"slika","picture","word"," slˈikæ"
249,"smeće","trash","word"," smˈɛtɕɛ"
250,"svjetiljka","lamp","word"," svjˈetɪʎkæ"
251,"svjetlo","light","word"," svjˈetlo"
252,"šalica","cup","word"," ʃˈalɪtsæ"
253,"škare","scissors","word"," ʃkˈɑrɛ"
254,"tanjur","plate","word"," tˈaɲʊr"
255,"telefon","telephone","word"," tˈɛlɛfon"
256,"usisavač","vacuum","word"," ˈusɪsˌævætʃ"
257,"vilica","fork","word"," vˈilɪtsæ"
258,"zdjelica","bowl","word"," zdjˈelɪtsæ"
259,"zvono","bell","word"," zvˈono"
260,"žlica","spoon","word"," ʒlˈitsæ"
262,"dnevna soba","living room","word"," dnˈɛvnæ sˈobæ"
263,"fotelja","armchair","word"," fˈotɛʎæ"
264,"garaža","garage","word"," ɡˈɑræʒæ"
265,"hladnjak","refrigerator","word"," xlˈadɲæk"
267,"kada","bathtub","word"," kˈadæ"
268,"kauč","couch","word"," kˈaʊtʃ"
270,"kolijevka","cradle","word"," kˈolɪjˌevkæ"
271,"krevet","bed","word"," kɾˈɛvɛt"
272,"krevetić","crib","word"," kɾˈɛvɛtɪtɕ"
273,"kuhinja","kitchen","word"," kˈuhɪɲæ"
274,"kupaonica","bathroom","word"," kˈupæˌonɪtsæ"
275,"ladica","drawer","word"," lˈadɪtsæ"
276,"ogradica","play pen","word"," ˈoɡɾædˌɪtsæ"
277,"ormar","wardrobe","word"," ˈormɑr"
278,"pećnica","oven","word"," pˈɛtɕnɪtsæ"
280,"prozor","window","word"," pɾˈozor"
283,"stepenice","stairs","word"," stˈɛpɛnˌɪtsɛ"
284,"stol","table","word"," stˈol"
285,"stolica","chair","word"," stˈolɪtsæ"
287,"štednjak","stove","word"," ʃtˈɛdɲæk"
288,"televizor","tv","word"," tˈɛlɛvˌɪzor"
290,"tuta","potty","word"," tˈutæ"
291,"umivaonik","sink","word"," ˈumɪvˌæonɪk"
292,"vrata","door","word"," vɾˈatæ"
294,"bazen","pool","word"," bˈazɛn"
295,"cvijeće","flower","word"," tsvˈijetɕɛ"
296,"drvo","tree","word"," drvˈo"
297,"dvorište","backyard","word"," dvˈorɪʃtɛ"
298,"kamen","rock (object)","word"," kˈamɛn"
299,"kiša","rain","word"," kˈiʃæ"
301,"lopata","shovel","word"," lˈopætæ"
303,"ljuljačka","swing (object)","word"," ʎˈuʎætʃkæ"
304,"mjesec","moon","word"," mjˈesɛts"
306,"nebo","sky","word"," nˈɛbo"
309,"park","park","word"," pˈɑrk"
312,"snijeg","snow","word"," snˈijeɡ"
315,"sunce","sun","word"," sˈuntsɛ"
321,"voda","water (not beverage)","word"," vˈodæ"
322,"vrt","garden","word"," vrt"
324,"zvijezda","star","word"," zvˈijezdæ"
346,"zoološki vrt","zoo","word"," zˈoolˌoʃkɪ vrt"
347,"baka","grandma","word"," bˈakæ"
348,"brat","brother","word"," bɾˈat"
350,"dijete","child","word"," dˈijetɛ"
352,"dječak","boy","word"," djˈetʃæk"
353,"djed","grandpa","word"," djˈed"
354,"djevojčica","girl","word"," djˈevojtʃˌɪtsæ"
355,"doktor","doctor","word"," dˈoktor"
358,"ime osobe koja čuva dijete","babysitter's name","word"," ˈimɛ ˈosobɛ kˈojæ tʃˈuvæ dˈijetɛ"
360,"kum","godfather","word"," kˈum"
361,"ljudi","people","word"," ʎˈudɪ"
362,"mama","mommy","word"," mˈamæ"
366,"sestra","sister","word"," sˈɛstɾæ"
368,"stric","uncle","word"," stɾˈits"
369,"striček","man","word"," stɾˈitʃɛk"
370,"svoje ime","child's own name","word"," svˈoje ˈimɛ"
371,"tata","daddy","word"," tˈatæ"
372,"teta","aunt","word"," tˈɛtæ"
374,"ujak","uncle","word"," ˈujæk"
377,"bok!","hi","word"," bˈok"
378,"da","yes","word"," dˈa"
380,"dobar dan","hello","word"," dˈobɑr dˈan"
381,"doručak","breakfast","word"," dˈorʊtʃæk"
385,"hvala","thank you","word"," xvˈalæ"
387,"ku-ku","peekaboo","word"," kˈukˈu"
388,"kupanje","bath","word"," kˈupæɲe"
390,"laku noć","good night","word"," lˈakʊ nˈotɕ"
392,"molim","please","word"," mˈolɪm"
393,"Ne!","no","word"," nˈɛ"
395,"pa-pa","bye","word"," pˈapˈa"
397,"psst-tiho","shh","word"," pˈəsˌəsˌətˌətˈiho"
398,"ringe-raja","ring around the rosie","word"," ɾˈiŋɡɛɾˈɑjæ"
399,"ručak","lunch","word"," ɾˈutʃæk"
400,"spavanje","nap","word"," spˈavæɲe"
401,"baciti","throw","word"," bˈatsɪtɪ"
402,"bježati","flee","word"," bjˈeʒætɪ"
404,"brisati","wipe","word"," bɾˈisætɪ"
406,"crtati","draw","word"," tsrtˈatɪ"
408,"čistiti","clean (action)","word"," tʃˈistɪtɪ"
409,"čitati","read","word"," tʃˈitætɪ"
411,"dati","give","word"," dˈatɪ"
413,"dirati","touch","word"," dˈirætɪ"
414,"dobiti","get","word"," dˈobɪtɪ"
415,"donijeti","bring","word"," dˈonɪjˌetɪ"
417,"gledati","look","word"," ɡlˈɛdætɪ"
419,"gristi","bite","word"," ɡɾˈistɪ"
420,"gurati","push","word"," ɡˈurætɪ"
421,"hodati","walk","word"," xˈodætɪ"
424,"ići","go","word"," ˈitɕɪ"
425,"igrati se","play","word"," ˈiɡɾætɪ sˈɛ"
428,"jahati","ride","word"," jˈahætɪ"
429,"jesti","eat","word"," jˈestɪ"
434,"kupiti","buy","word"," kˈupɪtɪ"
438,"ljuljati se","swing (action)","word"," ʎˈuʎætɪ sˈɛ"
447,"otvoriti","open (action)","word"," ˈotvorˌɪtɪ"
448,"pasti","fall","word"," pˈastɪ"
449,"paziti","watch (action)","word"," pˈazɪtɪ"
450,"pisati","write","word"," pˈisætɪ"
451,"piti","drink (action)","word"," pˈitɪ"
452,"pjevati","sing","word"," pjˈevætɪ"
453,"plakati","cry","word"," plˈakætɪ"
454,"plesati","dance","word"," plˈɛsætɪ"
455,"plivati","swim","word"," plˈivætɪ"
