"item","definition","uni_lemma","type","IPA"
200,"pelota","ball","word"," pelˈota"
204,"tambor","drum","word"," tambˈɔɾ"
206,"botas","boots","word"," βˈotas"
207,"bolsa","purse","word"," βˈɔlsa"
208,"babero","bib","word"," βaβˈɛɾɔ"
209,"aretes","earrings","word"," aɾˈɛtes"
211,"almohada","pillow","word"," ˌalmoˈaða"
212,"aspiradora","vacuum","word"," ˌaspiɾaðˈɔɾa"
213,"basura","trash","word"," βasˈuɾa"
215,"botella","bottle","word"," βotˈɛʝa"
216,"caja","box","word"," kˈaxa"
220,"cepillo de dientes","toothbrush","word"," θepˈiʝo ðe ðjˈɛntes"
221,"cepillo","brush (object)","word"," θepˈiʝo"
223,"chupón","pacifier","word"," tʃupˈɔn"
224,"cigarros","cigarette","word"," θiɣˈaros"
226,"cobija","blanket","word"," koβˈixa"
227,"cuadro","picture","word"," kwˈaðɾo"
229,"cuchara","spoon","word"," kutʃˈaɾa"
230,"cuchillo","knife","word"," kutʃˈiʝo"
231,"dinero","money","word"," ðinˈɛɾɔ"
232,"escoba","broom","word"," ɛskˈoβa"
233,"espejo","mirror","word"," ɛspˈexo"
234,"fotos","photos","word"," fˈotos"
235,"jabón","soap","word"," xaβˈɔn"
237,"llave","keys","word"," ʝˈaβe"
238,"luz","light","word"," lˈuθ"
239,"martillo","hammer","word"," maɾtˈiʝo"
240,"medicina","medicine","word"," mˌeðiθˈina"
243,"papel","paper","word"," papˈɛl"
245,"peine","comb (object)","word"," pˈeɪne"
248,"plato","plate","word"," plˈato"
249,"radio","radio","word"," rˈaðjo"
250,"reloj","watch (object)","word"," relˈɔx"
253,"taza","cup","word"," tˈaθa"
254,"teléfono","telephone","word"," telˈɛfono"
255,"tenedor","fork","word"," tˌeneðˈɔɾ"
256,"tijeras","scissors","word"," tixˈɛɾas"
257,"toalla","towel","word"," toˈaʝa"
258,"trapo","cloth","word"," tɾˈapo"
259,"vasos","glass","word"," βˈasos"
260,"vela","candle","word"," βˈela"
261,"alberca","pool","word"," alβˈɛrka"
262,"árbol","tree","word"," ˈarβɔl"
264,"cielo","sky","word"," θjˈelo"
266,"columpio","swing (object)","word"," kolˈumpjo"
267,"estrella","star","word"," ɛstɾˈɛʝa"
268,"flor","flower","word"," flˈɔɾ"
272,"lluvia","rain","word"," ʝˈubja"
273,"luna","moon","word"," lˈuna"
277,"nieve","snow","word"," njˈeβe"
278,"nube","cloud","word"," nˈuβe"
282,"piedra","rock (object)","word"," pjˈɛðɾa"
283,"planta","plant","word"," plˈanta"
285,"resbaladilla","slide (object)","word"," rˌɛsβalaðˈiʝa"
286,"sol","sun","word"," sˈɔl"
288,"techo","roof","word"," tˈetʃo"
292,"bacinica","potty","word"," βˌaθinˈika"
294,"baño","bathroom","word"," βˈaɲo"
295,"cajón","drawer","word"," kaxˈɔn"
296,"cama","bed","word"," kˈama"
298,"cochera","garage","word"," kotʃˈɛɾa"
299,"cocina","kitchen","word"," koθˈina"
301,"cuarto","room","word"," kwˈaɾto"
302,"cuna","crib","word"," kˈuna"
303,"escaleras","stairs","word"," ˌɛskalˈɛɾas"
304,"estufa","stove","word"," ɛstˈufa"
305,"horno","oven","word"," ˈɔrno"
306,"lavabo","sink","word"," laβˈaβo"
309,"mesa","table","word"," mˈesa"
312,"puerta","door","word"," pwˈɛɾta"
313,"recámara","bedroom","word"," rekˈamaɾa"
314,"refrigerador","refrigerator","word"," rˌɛfɾixˌɛɾaðˈɔɾ"
315,"regadera","shower","word"," rˌeɣaðˈɛɾa"
316,"ropero","closet","word"," ropˈɛɾɔ"
317,"sala","living room","word"," sˈala"
319,"silla","chair","word"," sˈiʝa"
321,"sofá","couch","word"," sofˈa"
322,"televisión","tv","word"," tˌeleβisjˈɔn"
323,"tina","bathtub","word"," tˈina"
324,"ventana","window","word"," βɛntˈana"
347,"abuela","grandma","word"," abwˈela"
