"month","item","definition","uni_lemma","learned","value","value2"
16,270,"crib","crib",0,0,58
16,271,"door","door",0,9,1349
16,272,"drawer","drawer",0,1,112
16,274,"garage","garage",0,0,174
16,276,"kitchen","kitchen",0,2,480
16,278,"oven","oven",0,3,119
16,283,"refrigerator","refrigerator",0,0,167
16,284,"room","room",0,5,1490
16,285,"shower","shower",0,5,85
16,286,"sink","sink",0,3,156
16,288,"stairs","stairs",0,0,228
16,289,"stove","stove",0,4,118
16,290,"table","table",0,5,1407
16,292,"window","window",0,3,518
16,294,"backyard","yard",0,1,27
16,295,"cloud","cloud",0,2,24
16,297,"flower","flower",0,4,184
16,298,"garden","garden",0,3,208
16,299,"grass","grass",0,2,224
16,301,"ladder","ladder",0,1,143
16,303,"moon","moon",0,3,167
16,304,"pool","pool",0,2,149
16,305,"rain","rain",0,7,184
16,306,"rock","rock",0,2,156
16,307,"roof","roof",0,1,163
16,309,"shovel","shovel",0,0,78
16,311,"sky","sky",0,5,172
16,312,"slide","slide",0,1,366
16,313,"snow","snow",0,6,421
16,316,"star","star",0,4,175
16,317,"stick","stick",0,2,493
16,319,"street","street",0,2,451
16,320,"sun","sun",0,10,269
16,321,"swing","swing",0,1,96
16,322,"tree","tree",0,14,870
16,323,"water","water",0,28,1482
16,324,"wind","wind",0,0,257
17,14,"animal","animal",0,25,284
17,15,"ant","ant",0,1,34
17,16,"bear","bear",0,3,522
17,17,"bee","bee",0,1,109
17,18,"bird","bird",0,12,730
17,19,"bug","bug",0,3,138
17,20,"bunny","bunny",0,1,588
17,21,"butterfly","butterfly",0,0,100
17,22,"cat","cat",0,10,1026
17,23,"chicken","chicken",0,8,590
17,24,"cow","cow",0,5,663
17,25,"deer","deer",0,0,72
17,27,"donkey","donkey",0,1,151
17,28,"duck","duck",1,1,609
17,29,"elephant","elephant",0,1,372
17,30,"fish","fish",0,4,817
17,31,"frog","frog",0,0,268
17,32,"giraffe","giraffe",0,1,126
17,33,"goose","goose",0,1,75
17,35,"horse","horse",0,5,938
17,37,"lamb","lamb",0,1,140
17,38,"lion","lion",0,3,404
17,39,"monkey","monkey",0,2,380
17,41,"mouse","mouse",0,4,440
17,42,"owl","owl",0,0,82
17,43,"penguin","penguin",0,0,42
17,44,"pig","pig",0,2,405
17,45,"pony","pony",0,1,73
17,46,"puppy","puppy",0,2,124
17,47,"rooster","rooster",0,2,61
17,48,"sheep","sheep",0,1,192
17,49,"squirrel","squirrel",0,1,83
17,51,"tiger","tiger",0,3,1049
17,52,"turkey","turkey",0,3,113
17,53,"turtle","turtle",0,0,243
17,54,"wolf","wolf",0,1,107
17,56,"airplane","airplane",0,0,382
17,57,"bicycle","bicycle",0,1,95
17,58,"boat","boat",0,4,490
17,59,"bus","bus",0,3,496
17,60,"car","car",0,12,2309
17,63,"motorcycle","motorcycle",0,1,60
17,66,"tractor","tractor",0,0,324
17,67,"train","train",0,3,904
17,69,"truck","truck",0,3,909
17,71,"balloon","balloon",0,0,307
17,73,"block","block",0,1,272
17,78,"doll","doll",0,1,329
17,81,"pen","pen",0,3,370
17,84,"present","present",0,1,218
17,87,"toy","toy",0,4,524
17,88,"apple","apple",0,6,433
17,91,"beans","beans",0,1,159
17,92,"bread","bread",0,6,391
17,93,"butter","butter",0,7,430
