"item","definition","uni_lemma","type","IPA"
222,"Çatal","fork","word"," tʃatˈal"
224,"Çekiç","hammer","word"," tʃecˈɪtʃ"
226,"Emzik","pacifier","word"," ɛmzˈɪk"
228,"İlaç","medicine","word"," ilˈatʃ"
229,"Kağıt","paper","word"," kaː ˈɯt"
230,"Kaşık","spoon","word"," kaʃˈɯk"
231,"Kumanda","remote control","word"," kumandˈa"
232,"Lamba","lamp","word"," lambˈa"
237,"Radyo","radio","word"," rˈadjɔ"
238,"Resim","picture","word"," rˈesɪm"
239,"Saat","clock","word"," saˈat"
240,"Sabun","soap","word"," sabˈʊn"
241,"Süpürge","vacuum","word"," sypørɡˈɛ"
243,"Tabak","plate","word"," tabˈak"
244,"Tarak","comb (object)","word"," taɾˈak"
245,"Telefon","telephone","word"," telefˈɔn"
247,"Balkon","porch","word"," balkˈɔn"
248,"Banyo","bathroom","word"," banjˈɔ"
249,"Bilgisayar","computer","word"," bɪlɟisajˈar"
250,"Buzdolabı","refrigerator","word"," bʊzdolabˈɯ"
251,"Dolap","cupboard","word"," dolˈap"
253,"Fırın","oven","word"," fɯrˈɯn"
256,"Kapı","door","word"," kapˈɯ"
257,"Koltuk","armchair","word"," kɔltˈʊk"
258,"Lazımlık","potty","word"," lˈazɯmlɯk"
259,"Masa","table","word"," mˈasa"
260,"Merdiven","stairs","word"," mɛrdivˈɛn"
261,"Mutfak","kitchen","word"," mʊtfˈak"
263,"Pencere","window","word"," pɛndʒerˈɛ"
264,"Oda","room","word"," odˈa"
266,"Sandalye","chair","word"," sandaljˈɛ"
269,"Tuvalet","potty","word"," tuvalˈɛt"
270,"Yatak","bed","word"," jatˈak"
271,"Yastık","pillow","word"," jastˈɯk"
272,"Zil","bell","word"," zˈɪl"
274,"Ay","moon","word"," ˈaj"
275,"Ağaç","tree","word"," aː ˈatʃ"
276,"Ateş","fire","word"," atˈɛʃ"
277,"Bahçe","garden","word"," bahtʃˈɛ"
280,"Çamur","mud","word"," tʃamˈʊr"
281,"Çiçek","flower","word"," tʃitʃˈɛk"
286,"Duvar","wall","word"," duvˈar"
291,"Güneş","sun","word"," ɟynˈɛʃ"
293,"Kaydırak","slide (object)","word"," kajdɯɾˈak"
296,"Köprü","bridge","word"," cœprˈø"
297,"Kum","sand","word"," kˈʊm"
300,"Salıncak","swing (object)","word"," salɯndʒˈak"
301,"Sokak","street","word"," sokˈak"
302,"Taş","rock (object)","word"," tˈaʃ"
304,"Toprak","soil","word"," tɔprˈak"
305,"Toz","dust","word"," tˈɔz"
307,"Yağmur","rain","word"," jaː mˈʊr"
309,"Yaprak","leaf","word"," japrˈak"
310,"Yol","road","word"," jˈɔl"
311,"Atta","outing","word"," attˈa"
312,"Bakkal","grocery","word"," bakkˈal"
314,"Çarşı","market","word"," tʃarʃˈɯ"
315,"Dışarı","outside","word"," dɯʃarˈɯ"
316,"Deniz","sea","word"," dˈenɪz"
318,"Dükkan","store","word"," døkkˈan"
319,"Ev","home","word"," ˈɛv"
321,"İş","work (place)","word"," ˈɪʃ"
323,"Köy","village","word"," cˈœj"
326,"Market","market","word"," marcˈɛt"
327,"Okul","school","word"," okˈʊl"
329,"Park","park","word"," pˈark"
330,"Pazar","market","word"," pazˈar"
336,"Abi","brother","word"," abˈɪ"
337,"Abla","sister","word"," ˈabla"
338,"Adam","man","word"," adˈam"
339,"Amca","uncle","word"," amdʒˈa"
340,"Anne","mommy","word"," annˈɛ"
342,"Arkadaş","friend","word"," arkadˈaʃ"
344,"Baba","daddy","word"," babˈa"
346,"Bebek","baby","word"," bebˈɛk"
348,"Çocuk","child","word"," tʃodʒˈʊk"
349,"Dede","grandpa","word"," dedˈɛ"
350,"Doktor","doctor","word"," dɔktˈɔr"
353,"Hala","aunt","word"," hˈala"
355,"Kardeş","sibling","word"," kardˈɛʃ"
356,"Kendi ismi","child's own name","word"," cɛndɪ ɪsmˈɪ"
357,"Kız","girl","word"," kˈɯz"
359,"Nine","grandma","word"," ninˈɛ"
362,"Palyaço","clown","word"," paljatʃˈɔ"
363,"Polis","police","word"," polˈɪs"
364,"Prenses","princess","word"," prɛnsˈɛs"
366,"Teyze","aunt","word"," tɛjzˈɛ"
368,"Aferin","bravo","word"," aferˈɪn"
369,"Alkış","clap","word"," alkˈɯʃ"
370,"Alo","hello","word"," alˈɔ"
371,"Ayıp","shame","word"," ajˈɯp"
372,"Banyo","bath","word"," banjˈɔ"
373,"Bay-bay","bye","word"," bˈajbˈaj"
374,"Çiş","go potty","word"," tʃˈɪʃ"
375,"Dikkat","watch out","word"," dɪkkˈat"
379,"Evet","yes","word"," evˈɛt"
380,"Güle-güle","bye","word"," ɟˈyleɟˈylɛ"
381,"Günaydın","good morning","word"," ɟynajdˈɯn"
382,"Hadi","come on","word"," hadˈɪ"
383,"Hayır","don't","word"," hajˈɯr"
385,"İyi geceler","good night","word"," ijˈɪ ɟedʒelˈɛr"
387,"Kaka","go potty","word"," kakˈa"
388,"Kucak","take in arms","word"," kudʒˈak"
390,"Mama","baby food","word"," mˈama"
392,"Müzik","music","word"," myzˈɪk"
393,"Ninni","lullaby","word"," nɪnnˈɪ"
394,"Saklambaç","hide and seek","word"," saklambˈatʃ"
395,"Sürpriz","surprise","word"," sˈørprɪz"
397,"Şarkı","sing","word"," ʃarkˈɯ"
399,"Takla","somersault","word"," tˈakla"
400,"Tamam","ok","word"," tamˈam"
401,"Teşekkür","thank you","word"," teʃɛkcˈør"
402,"Uyku","sleep","word"," ʊjkˈʊ"
403,"Var","present","word"," vˈar"
407,"Yok","all gone","word"," jˈɔk"
408,"Acı","hurt (action)","word"," adʒˈɯ"
409,"Acık","get hungry","word"," adʒˈɯk"
410,"Aç","open (action)","word"," ˈatʃ"
411,"Açıl","be opened","word"," atʃˈɯl"
412,"Ağla","cry","word"," ˈaː la"
413,"Al","take","word"," ˈal"
414,"Anla","understand","word"," ˈanla"
416,"Ara","look for","word"," arˈa"
417,"Atla","jump","word"," ˈatla"
418,"At","throw","word"," ˈat"
419,"Bağır","shout","word"," baː ˈɯr"
421,"Bak","look","word"," bˈak"
422,"Bas","press","word"," bˈas"
423,"Başla","begin","word"," bˈaʃla"
427,"Bırak","drop","word"," bɯɾˈak"
429,"Bin","ride","word"," bˈɪn"
430,"Bit","finish","word"," bˈɪt"
432,"Boya","paint (action)","word"," bojˈa"
434,"Bul","find","word"," bˈʊl"
438,"Çek","pull","word"," tʃˈɛk"
440,"Çıkar","take off","word"," tʃɯkˈar"
441,"Çiz","draw","word"," tʃˈɪz"
446,"Dön","turn","word"," dˈœn"
447,"Döv","kick","word"," dˈœv"
448,"Dur","stop","word"," dˈʊr"
450,"Dök","spill","word"," dˈœk"
451,"Düş","fall","word"," dˈøʃ"
453,"Elle","touch","word"," ˈɛllɛ"
454,"El salla","wave","word"," ˈɛl sˈalla"
456,"Gel","come","word"," ɟˈɛl"
457,"Getir","bring","word"," ɟetˈɪr"
458,"Gez","travel","word"," ɟˈɛz"
459,"Gıdıkla","tickle","word"," ɡɯdˈɯkla"
460,"Gir","enter","word"," ɟˈɪr"
461,"Git","go","word"," ɟˈɪt"
462,"Giy","wear","word"," ɟˈɪj"
463,"Giydir","dress (action)","word"," ɟˈɪjdɪr"
464,"Gör","see","word"," ɟˈœr"
465,"Göster","show","word"," ɟœstˈɛr"
466,"Götür","take away","word"," ɟœtˈør"
467,"Gül","laugh","word"," ɟˈøl"
470,"Isır","bite","word"," ɯsˈɯr"
471,"Islan","wet (action)","word"," ɯslˈan"
472,"İç","drink (action)","word"," ˈɪtʃ"
473,"İn","get off","word"," ˈɪn"
474,"İste","wanna","word"," ɪstˈɛ"
475,"İt","push","word"," ˈɪt"
478,"Kaldır","lift","word"," kˈaldɯr"
479,"Kalk","stand","word"," kˈalk"
482,"Kapat","close","word"," kapˈat"
486,"Kır","break","word"," kˈɯr"
489,"Kokla","smell","word"," kˈɔkla"
494,"Kork","be scared","word"," kˈɔrk"
495,"Koş","run","word"," kˈɔʃ"
496,"Koy","put","word"," kˈɔj"
500,"Ol","be","word"," ˈɔl"
501,"Otur","sit","word"," otˈʊr"
502,"Oyna","play","word"," ɔjnˈa"
504,"Öl","die","word"," ˈœl"
505,"Öp","kiss","word"," ˈœp"
506,"Ört","cover (action)","word"," ˈœrt"
510,"Sakla","hide","word"," sˈakla"
511,"Salla","shake","word"," sˈalla"
512,"Sallan","swing (action)","word"," sallˈan"
513,"Sarıl","hug","word"," saɾˈɯl"
514,"Say","count","word"," sˈaj"
515,"Sev","love","word"," sˈɛv"
516,"Seyret","watch (action)","word"," sɛjrˈɛt"
519,"Sil","wipe","word"," sˈɪl"
520,"Sok","put in","word"," sˈɔk"
522,"Söyle","say","word"," sˈœjlɛ"
523,"Sus","shut up","word"," sˈʊs"
527,"Tak","put on","word"," tˈak"
528,"Tara","comb (action)","word"," tarˈa"
529,"Taşı","carry","word"," taʃˈɯ"
531,"Tut","hold","word"," tˈʊt"
532,"Uç","fly (action)","word"," ˈʊtʃ"
534,"Uyan","wake","word"," ujˈan"
536,"Ver","give","word"," vˈɛr"
537,"Vur","hit","word"," vˈʊr"
540,"Yap","do","word"," jˈap"
542,"Yat","lie","word"," jˈat"
543,"Yaz","write","word"," jˈaz"
544,"Ye","eat","word"," jˈɛ"
545,"Yedir","feed","word"," jˈedɪr"
548,"Yıka","wash","word"," jɯkˈa"
549,"Yıkan","bathe","word"," jɯkˈan"
550,"Yırt","tear","word"," jˈɯrt"
552,"Yut","swallow","word"," jˈʊt"
553,"Yürü","walk","word"," jyrˈø"
554,"Acı","bitter","word"," adʒˈɯ"
555,"Açık","open (description)","word"," atʃˈɯk"
559,"Boş","empty","word"," bˈɔʃ"
560,"Büyük","big","word"," byjˈøk"
561,"Cadı","naughty","word"," dʒadˈɯ"
563,"Cici","cute","word"," dʒidʒˈɪ"
565,"Çirkin","ugly","word"," tʃɪrkˈɪn"
570,"Güzel","pretty","word"," ɟyzˈɛl"
571,"Hasta","sick","word"," hastˈa"
574,"Islak","wet (description)","word"," ɯslˈak"
577,"İyi","good","word"," ijˈɪ"
579,"Kapalı","closed","word"," kapalˈɯ"
580,"Karanlık","dark","word"," kaɾanlˈɯk"
583,"Kırmızı","red","word"," kˈɯrmɯzɯ"
585,"Kirli","dirty","word"," cɪrlˈɪ"
586,"Kocaman","big","word"," kodʒamˈan"
