"item","definition","uni_lemma","type","IPA"
201,"beh beh","baa baa","word"," bˈɛ bːˈɛ"
202,"bau bau","woof woof","word"," bˈaːʊ bˈaːʊ"
203,"organo genitale maschile","penis","word"," ˈɔrɡano dʒˌenitˈaːle maskˈiːle"
204,"pancia","tummy","word"," pˈantʃa"
205,"piede","feet","word"," pjˈɛːde"
206,"sederino","butt","word"," sˌederˈiːno"
207,"seno","breast","word"," sˈeːno"
209,"testa","head","word"," tˈɛsta"
213,"biberon","bottle","word"," bibˈɛːron"
214,"bicchiere","glass","word"," bˌikːiˈɛːre"
215,"bottiglia","bottle","word"," botːˈiːʎa"
218,"chiave","keys","word"," kjˈaːve"
219,"ciuccio","pacifier","word"," tʃˈutʃːo"
221,"coltello","knife","word"," koltˈɛllo"
222,"coperchio","cover (object)","word"," kopˈɛrkio"
223,"coperta","blanket","word"," kopˈɛːrta"
224,"cucchiaio","spoon","word"," kʊkːjˈaio"
225,"cuscino","pillow","word"," kʊʃˈiːno"
228,"fazzoletto","tissue","word"," fˌatsːolˈetːo"
229,"forbici","scissors","word"," fˈɔrbitʃɪ"
230,"forchetta","fork","word"," forkˈetːa"
232,"giornale","paper","word"," dʒornˈaːle"
233,"luce","light","word"," lˈuːtʃe"
234,"libro","book","word"," lˈiːbro"
235,"martello","hammer","word"," martˈɛllo"
236,"matita","pen/pencil","word"," matˈiːta"
238,"musica","music","word"," mˈuzika"
239,"ombrello","umbrella","word"," ombrˈɛllo"
240,"orologio","clock","word"," ˌɔrolˈɔːdʒo"
241,"pentola","pot","word"," pˈentola"
242,"pettine","comb (object)","word"," pˈɛtːine"
243,"pianta","plant","word"," piˈanta"
244,"piatto","dish","word"," piˈatːo"
246,"sapone","soap","word"," sapˈoːne"
247,"scatola","box","word"," skˈatola"
248,"scopa","broom","word"," skˈoːpa"
251,"soldi","money","word"," sˈɔldɪ"
252,"spazzolino da denti","toothbrush","word"," spˌatsːolˈiːno dˌa dˈɛntɪ"
253,"specchio","mirror","word"," spˈɛkːio"
255,"tappo","cap","word"," tˈapːo"
256,"tazza","cup","word"," tˈatsːa"
257,"telefono","telephone","word"," telˈɛfono"
260,"vasino","potty","word"," vazˈiːno"
261,"armadio","closet","word"," armˈadio"
262,"bagno","bathroom","word"," bˈaːɲo"
263,"bidè","bidet","word"," bidˈɛ"
264,"camera","room","word"," kˈamera"
266,"cassetto","drawer","word"," kassˈetːo"
267,"cucina","kitchen","word"," kʊtʃˈiːna"
268,"culla","crib","word"," kˈulla"
269,"divano","couch","word"," divˈaːno"
270,"doccia","shower","word"," dˈotʃːa"
272,"finestra","window","word"," finˈɛstra"
275,"frigorifero","refrigerator","word"," frˌiɡorˈifero"
276,"lavandino","sink","word"," lˌavandˈiːno"
277,"lavatrice","washing machine","word"," lˌavatrˈiːtʃe"
278,"letto","bed","word"," lˈɛtːo"
281,"porta","door","word"," pˈɔːrta"
285,"salotto","living room","word"," salˈɔtːo"
286,"scala","stairs","word"," skˈaːla"
287,"sedia","chair","word"," sˈɛdia"
288,"seggiolone","high chair","word"," sˌedʒːolˈoːne"
289,"tappeto","carpet","word"," tapːˈeːto"
290,"tavolo","table","word"," tˈavolo"
291,"televisione","tv","word"," tˌɛlevˌiziˈoːne"
292,"terrazza","porch","word"," terɾˈatsːa"
293,"vasca da bagno","bathtub","word"," vˈaska dˌa bˈaːɲo"
294,"albero","tree","word"," ˈalbero"
295,"altalena","swing (object)","word"," ˌaltalˈeːna"
296,"ascensore","elevator","word"," ˌaʃensˈoːre"
300,"cielo","sky","word"," tʃˈɛːlo"
302,"fiore","flower","word"," fiˈoːre"
306,"garage","garage","word"," ɡarˈaːdʒe"
307,"luna","moon","word"," lˈuːna"
309,"neve","snow","word"," nˈeːve"
310,"nuvola","cloud","word"," nˈuvola"
311,"pioggia","rain","word"," piˈɔdʒːa"
314,"prato","lawn","word"," prˈaːto"
315,"sasso","stone","word"," sˈasso"
316,"scivolo","slide (object)","word"," ʃˈivolo"
317,"sole","sun","word"," sˈoːle"
318,"stella","star","word"," stˈella"
319,"strada","street","word"," strˈaːda"
320,"terra","earth","word"," tˈɛrɾa"
324,"vento","wind","word"," vˈɛnto"
348,"babysitter","babysitter","word"," bˌabizˈitːer"
350,"barbiere","barber","word"," bˌarbiˈɛːre"
351,"bimbi","child","word"," bˈimbɪ"
352,"cugino","cousin","word"," kʊdʒˈiːno"
354,"dottore","doctor","word"," dotːˈoːre"
355,"fratello","brother","word"," fratˈɛllo"
356,"il suo nome","child's own name","word"," ˌil swˌo nˈoːme"
357,"maestro","teacher","word"," maˈɛstro"
358,"mamma","mommy","word"," mˈamma"
359,"nonna","grandma","word"," nˈɔnna"
360,"nonno","grandpa","word"," nˈɔnno"
362,"papà","daddy","word"," papˈa"
363,"parrucchiere","hairdresser","word"," pˌarɾʊkːiˈɛːre"
365,"persone","people","word"," persˈoːne"
366,"poliziotto","police","word"," pˌɔlitsiˈɔtːo"
368,"ragazzo","boy","word"," raɡˈatsːo"
369,"signore","sir","word"," siɲˈoːre"
370,"soldato","soldier","word"," soldˈaːto"
371,"sorella","sister","word"," sorˈɛlla"
373,"vigile","police","word"," vˈidʒile"
374,"zia","aunt","word"," dzˈiːa"
375,"zio","uncle","word"," dzˈiːo"
377,"basta","cut it out","word"," bˈasta"
378,"bravo","good boy/girl","word"," brˈaːvo"
379,"bua","owie","word"," bwˈa"
380,"bum","boom","word"," bˈum"
381,"buonanotte","good night","word"," bwˌonanˈɔtːe"
382,"ciao","hi","word"," tʃˈaʊ"
384,"cuccù settete","peekaboo","word"," kʊkːˈus setːˈeːte"
385,"dare le tottò","to slap","word"," darˈɛl lˌe totːˈɔ"
386,"fare il bagno","bath","word"," fˌare ˌil bˈaːɲo"
387,"fare la pipì","go potty","word"," fˌare lˌa pipˈi"
388,"fare la popò","go potty","word"," fˌare lˌa popˈɔ"
390,"grazie","thank you","word"," ɡrˈatsje"
391,"nanna","nap","word"," nˈanna"
392,"no","no","word"," nˈɔ"
393,"non c'è più","no more","word"," nˈɔn tʃˈɛ pjˈu"
395,"pronto","hello","word"," prˈonto"
396,"sì","yes","word"," sˈi"
397,"un","one two three","word"," ˈʊn"
398,"via","go-ahead","word"," vˈiːa"
400,"zitto","shh","word"," dzˈitːo"
401,"abbracciare","hug","word"," ˌabːratʃːˈaːre"
402,"accendere","turn on","word"," atʃːˈendere"
406,"alzarsi","stand","word"," altsˈaːrsɪ"
407,"andare","go","word"," andˈaːre"
408,"aprire","open (action)","word"," aprˈiːre"
411,"aspettare","wait","word"," ˌaspetːˈaːre"
415,"baciare","kiss","word"," batʃˈaːre"
416,"ballare","dance","word"," ballˈaːre"
417,"bere","drink (action)","word"," bˈeːre"
419,"buttare","dump","word"," bʊtːˈaːre"
420,"cadere","fall","word"," kˈadere"
421,"camminare","walk","word"," kˌamminˈaːre"
422,"cantare","sing","word"," kantˈaːre"
423,"cercare","seek","word"," tʃerkˈaːre"
424,"chiudere","close","word"," kjˈudere"
429,"correre","run","word"," kˈɔrɾere"
432,"cullare","rock (action)","word"," kʊllˈaːre"
433,"dare","give","word"," darˈɛ"
435,"dire","say","word"," dˈiːre"
437,"dondolare","swing (action)","word"," dˌondolˈaːre"
438,"dormire","sleep","word"," dormˈiːre"
440,"fare","make","word"," fˈare"
441,"fermarsi","stop","word"," fermˈaːrsɪ"
442,"finire","finish","word"," finˈiːre"
443,"giocare","play","word"," dʒokˈaːre"
444,"girare","turn","word"," dʒirˈaːre"
449,"lavare","wash","word"," lavˈaːre"
451,"leccare","lick","word"," lekːˈaːre"
452,"leggere","read","word"," lˈɛdʒːere"
453,"levare","take off","word"," levˈaːre"
455,"mangiare","eat","word"," mandʒˈaːre"
456,"mettere","put","word"," mˈɛtːere"
457,"mordere","bite","word"," mˈɔrdere"
460,"parlare","talk","word"," parlˈaːre"
462,"pettinare","comb (action)","word"," pˌɛtːinˈaːre"
464,"piangere","cry","word"," piˈandʒere"
466,"prendere","take","word"," prˈendere"
468,"pulire","clean (action)","word"," pʊlˈiːre"
472,"ridere","laugh","word"," rˈidere"
474,"rompere","break","word"," rˈompere"
