"age","item","definition","uni_lemma","learned","value"
"16",215,"klokke","clock",0,0
"16",216,"saks","scissors",0,0
"16",218,"kop","cup",0,0
"16",220,"billede","picture",0,0
"16",221,"kost","broom",0,1
"16",222,"ske","spoon",0,2
"16",223,"briller","glasses",0,0
"16",225,"skrald","trash",0,0
"16",226,"børste","brush (object)",0,0
"16",228,"skål","bowl",0,0
"16",230,"krus","cup",0,0
"16",232,"dyne","blanket",0,0
"16",236,"lampe","lamp",0,0
"16",237,"støvsuger","vacuum",0,0
"16",238,"flaske","bottle",0,0
"16",239,"lys","light",0,0
"16",240,"sæbe","soap",0,0
"16",241,"gaffel","fork",0,0
"16",242,"medicin","medicine",0,0
"16",243,"tallerken","plate",0,0
"16",244,"glas","glass",0,0
"16",245,"nøgler","keys",0,0
"16",246,"tandbørste","toothbrush",0,0
"16",248,"papir","paper",0,0
"16",249,"telefon","telephone",0,0
"16",250,"hammer","hammer",0,0
"16",251,"penge","money",0,0
"16",253,"håndklæde","towel",0,0
"16",254,"plante","plant",0,0
"16",255,"tæppe","carpet",0,0
"16",256,"kam","comb (object)",0,1
"16",257,"pude","pillow",0,0
"16",258,"ur","watch (object)",0,0
"16",260,"pung","purse",0,0
"16",262,"kasse","box",0,0
"16",263,"radio","radio",0,0
"16",266,"stue","living room",0,0
"16",267,"badekar","bathtub",0,0
"16",268,"køkken","kitchen",0,0
"16",270,"badeværelse","bathroom",0,0
"16",271,"køleskab","refrigerator",0,0
"16",273,"bord","table",0,1
"16",274,"ovn","oven",0,0
"16",275,"trapper","stairs",0,0
"16",277,"potte","potty",0,0
"16",278,"tv/fjernsyn","tv",0,0
"16",279,"dør","door",0,1
"16",280,"seng","bed",0,0
"16",282,"garage","garage",0,0
"16",284,"vask","sink",0,0
"16",286,"skuffe","drawer",0,0
"16",288,"høj stol","high chair",0,0
"16",289,"sofa","couch",0,0
"16",290,"vindue","window",0,0
"16",291,"komfur","stove",0,0
"16",292,"soveværelse","bedroom",0,0
"16",293,"vugge","crib",0,0
"16",294,"kravlegård","play pen",0,0
"16",295,"stol","chair",0,1
"16",298,"måne","moon",0,1
"16",299,"sol","sun",0,1
"16",300,"blomst","flower",0,0
"16",302,"sten","rock (object)",0,0
"16",304,"græsslåmaskine","lawn mower",0,0
"16",307,"regn","rain",0,0
"16",308,"stjerne","star",0,0
"16",315,"gynge (object)","swing (object)",0,0
"16",316,"skovl","shovel",0,0
"16",317,"træ","tree",0,0
"16",320,"vand (not beverage)","water (not beverage)",0,6
"16",321,"himmel","sky",0,0
"16",324,"kælk","sled",0,1
"16",325,"sne","snow",0,1
"18",13,"abe","monkey",0,0
"18",14,"gås","goose",0,0
"18",15,"løve","lion",0,0
"18",16,"and","duck",0,4
"18",18,"mus","mouse",0,1
"18",19,"bamse","teddybear",0,0
"18",20,"hest","horse",0,0
"18",22,"bi","bee",0,1
"18",25,"bjørn","bear",0,0
"18",26,"hvalp","puppy",0,0
"18",27,"pingvin","penguin",0,0
"18",28,"dyr","animal",0,1
"18",29,"hund","dog",0,2
"18",31,"egern","squirrel",0,0
"18",33,"skildpadde","turtle",0,0
"18",34,"elefant","elephant",0,0
"18",36,"sommerfugl","butterfly",0,0
"18",37,"fisk (animal)","fish (animal)",0,4
"18",38,"kanin","bunny",0,0
"18",39,"tiger","tiger",0,0
"18",40,"flue","fly (animal)",0,0
"18",41,"kat","cat",0,0
"18",42,"ugle","owl",0,0
"18",43,"frø","frog",0,0
"18",44,"killing","kitty",0,4
"18",46,"fugl","bird",0,0
"18",47,"ko","cow",0,1
"18",49,"får","sheep",0,1
"18",51,"æsel","donkey",0,0
"18",52,"giraf","giraffe",0,0
"18",53,"kylling (animal)","chicken (animal)",0,6
"18",54,"gris","pig",0,0
"18",55,"lam","lamb",0,1
"18",56,"barnevogn","stroller",0,0
"18",57,"flyvemaskine","airplane",0,0
"18",58,"motorcykel","motorcycle",0,0
"18",59,"bil","car",0,1
"18",60,"helikopter","helicopter",0,0
"18",62,"brandbil","firetruck",0,0
"18",63,"klapvogn","stroller",0,0
"18",64,"tog","train",0,1
"18",65,"bus","bus",0,1
"18",67,"traktor","tractor",0,0
"18",68,"cykel","bicycle",0,0
"18",69,"lastbil","truck",0,0
"18",70,"ballon","balloon",0,0
"18",72,"legetøj","toy (object)",0,0
"18",73,"blyant","pen/pencil",0,0
"18",76,"bog","book",0,2
"18",79,"bold","ball",0,1
"18",80,"klods","block",0,0
"18",82,"dukke","doll",0,0
"18",84,"sæbebobler","bubbles",0,0
"18",86,"kuglepen","pen/pencil",0,0
"18",89,"kiks","cracker",0,0
"18",91,"appelsin","orange (food)",0,0
"18",93,"slik","candy",0,0
"18",94,"banan","banana",0,0
"18",95,"kylling (food)","chicken (food)",0,6
"18",97,"boller","bun",0,1
"18",98,"kød","meat",0,0
"18",99,"smør","butter",0,0
"18",103,"brød","bread",0,0
"18",110,"mælk","milk",0,1
"18",111,"spaghetti","pasta",0,0
"18",118,"cornflakes","cheerios",0,0
"18",119,"ost","cheese",0,1
"18",124,"fisk (food)","fish (food)",0,4
"18",128,"pasta","pasta",0,0
"18",130,"gulerødder","carrots",0,0
"18",132,"vand (beverage)","water (beverage)",0,6
"18",134,"pizza","pizza",0,0
"18",136,"havregryn","cereal",0,0
"18",139,"is","ice cream",0,0
"18",145,"juice","juice",0,0
"18",146,"rosiner","raisin",0,0
"18",147,"æble","apple",0,0
"18",148,"kaffe","coffee",0,0
"18",150,"æg","egg",0,0
"18",151,"kage(r)","cake",0,0
"18",153,"ærter","peas",0,0
"18",156,"ble","diaper",0,0
"18",157,"hue","hat",0,1
"18",158,"strømpebukser","tights",0,0
"18",159,"bluse","shirt",0,0
"18",160,"jakke","jacket",0,0
"18",161,"strømper","sock",0,0
"18",162,"bukser","pants",0,0
"18",163,"kjole","dress (object)",0,0
"18",164,"støvler","boots",0,0
"18",166,"knap","button",0,0
"18",167,"sut","pacifier",0,0
"18",171,"frakke","coat",0,0
"18",172,"lynlås","zipper",0,0
"18",173,"t-shirt","t-shirt",0,0
"18",174,"hagesmæk","bib",0,0
"18",175,"nattøj","pajamas",0,0
"18",176,"trusser","underpants",0,0
"18",177,"halskæde","necklace",0,0
"18",178,"shorts","shorts",0,0
"18",179,"trøje","sweater",0,0
"18",181,"sko","shoe",1,2
"18",184,"sokker","sock",0,0
"18",187,"hår","hair",0,1
"18",188,"sår","owie",0,1
"18",189,"ansigt","face",0,0
"18",190,"kind","cheek",0,1
"18",191,"tænder","tooth",0,0
"18",192,"arm","arm",0,0
"18",193,"knæ","knee",0,0
"18",194,"tissekone","vagina",0,0
"18",195,"ben","leg",0,1
"18",197,"tissemand","penis",0,0
"18",200,"tunge","tongue",0,0
"18",201,"finger","finger",0,0
"18",202,"mund","mouth",0,1
"18",203,"tå","toe",0,0
"18",205,"navle","belly button",0,0
"18",206,"øje","eye",0,0
"18",209,"øre","ear",0,0
"18",210,"hoved","head",0,0
