"language","type","CI lower","Optim Par","CI upper","Full Model nLLK","Random Model nLLK"
"English (American)","assoc_PAC_np","0.0421875","0.04912109375","0.0626953125","1210.04027279282","1217.01385590121"
"English (American)","assoc_PAC_p","0.02490234375","0.037109375","0.03828125","1306.05411335262","1315.11963039465"
