definition,freq
drive,292
glass,292
somewhere,292
d,291
dry,289
early,289
hang,289
mess,289
since,289
bike,288
quiet,288
wipe,288
knock,286
lives,285
living,285
animal,284
sandwich,284
conor,283
beach,282
happening,282
string,282
straight,280
tail,280
person,279
friday,277
learn,277
babies,276
leg,276
quick,276
tiny,275
ursula,275
seat,274
works,274
miss,273
till,273
block,272
knows,272
excuse,271
knew,270
hum,269
machine,269
sun,269
ago,268
arm,268
dogs,268
frog,268
turned,268
baby's,266
e,266
saturday,266
letters,265
c,264
boom,263
lying,263
sunday,263
tall,263
they'll,263
pocket,261
graeme,260
heavy,260
mhm,258
swimming,258
wind,257
nobody,256
along,254
problem,252
thinking,252
clock,251
fraser,251
giving,251
television,251
believe,250
busy,250
candy,250
samantha,250
hurry,249
wood,249
m,248
supper,248
pretend,247
teacher,247
without,247
hour,246
socks,246
weren't,246
yup,246
apart,245
barbara,245
writing,245
bedroom,244
mummy's,244
closed,243
feed,243
games,243
that'll,243
turtle,243
walking,243
joey,242
whatever,242
instead,241
steven,240
suppose,240
circle,238
job,238
takes,238
balls,237
missed,237
mum,237
riding,237
waiting,237
wall,237
bowl,236
bye-bye,235
line,235
michelle,235
middle,235
soup,234
cover,233
karen,233
sylvia,233
hiding,232
someone,232
mike,231
most,231
myself,230
cook,229
carry,228
sleepy,228
stairs,228
terrible,228
father,227
they've,227
uncle,227
building,226
drop,226
mary,226
check,225
ear,225
eggs,225
p,225
course,224
dark,224
grass,224
jumping,224
pink,224
wearing,224
worry,224
class,223
toast,222
afternoon,221
played,221
engine,220
favorite,220
marie,220
peanut,220
caught,219
robin,219
present,218
derwood,217
easter,217
boots,216
colors,216
trouble,216
ann,215
cards,215
kathryn,215
board,214
indeed,214
rachel,214
reading,214
dance,213
colour,212
exactly,212
glad,212
loves,212
mama,212
men,212
TRUE,212
afraid,211
dolls,210
grow,209
garden,208
shouldn't,208
tongue,208
card,207
dropped,207
chairs,206
corner,206
gorgeous,206
grandma,206
steve,206
buttons,205
cowboy,205
fight,205
near,205
pulling,205
downstairs,204
monster,204
football,203
smell,202
watching,202
gabriella,201
h,200
kim,200
tower,200
upside,200
investigator,199
lift,199
she'd,199
spell,199
clever,198
turning,198
fixed,197
hah,197
whether,197
cats,196
driving,196
bang,195
basket,195
birds,195
dancing,195
strong,195
lucky,194
patsy,194
short,194
boo,193
hide,193
mrs,193
n,193
picked,193
wake,193
washing,193
also,192
scissors,192
sheep,192
snake,192
bugs,191
pop,191
cha,190
climb,190
cute,190
months,190
wish,190
claus,189
pot,189
ain't,188
toilet,188
pram,187
shopping,187
asleep,186
family,186
loud,186
past,186
clown,185
cows,185
he'd,185
ow,185
suit,185
woof,185
flower,184
mister,184
rain,184
square,184
kid,183
moving,183
sad,183
bridge,182
g,182
horses,182
interesting,182
trees,181
eleven,180
garbage,180
jacket,180
town,180
between,179
cereal,179
lois,179
nana,179
empty,178
monday,178
r,178
spill,178
glasses,177
granny,176
crayons,175
star,175
across,174
biscuits,174
garage,174
sore,174
lose,173
step,173
tummy,173
ach,172
knee,172
nearly,172
purple,172
sky,172
dead,171
ho,171
music,171
neat,171
patrick,171
pigs,171
rather,171
kneeling,170
pour,170
hers,169
hurts,169
singing,169
teach,169
drinking,168
hundred,168
sat,168
houses,167
moon,167
refrigerator,167
shop,167
yea,167
falling,166
favourite,166
horrible,166
potty,166
raining,166
scared,166
arms,165
chris,165
gerry,165
julia,165
miffy,165
tunnel,165
age,164
difference,164
mickey,164
mirror,164
won,164
pat,163
rice,163
roof,163
diaper,162
joe,162
papa,162
pie,162
smartie,162
easier,161
fat,161
fork,161
hospital,161
lisa,161
twelve,161
auntie,160
bubbles,160
cool,160
difficult,160
dinosaur,160
holes,160
keys,160
sake,160
sally,160
beans,159
body,159
comb,159
knocked,159
quack,159
screw,159
size,159
snack,159
w,159
gum,158
race,158
save,158
anthony,157
case,157
kent,157
thursday,157
rock,156
sink,156
woman,156
anywhere,155
ducks,155
kay,155
potato,155
john,154
moo,154
older,154
pulled,154
reach,154
voice,154
world,154
circus,153
da,153
stuart,153
umbrella,153
banana,152
ground,152
donkey,151
reason,151
sand,151
swim,151
tried,151
wednesday,151
everyone,150
point,150
potatoes,150
share,150
cups,149
dirt,149
dragon,149
pool,149
threw,149
names,148
pee,148
remi,148
space,148
aunt,147
cracker,147
drawing,147
bother,146
cos,146
fence,146
listening,146
mia,146
quarter,146
showed,146
smarties,146
stopped,146
underneath,146
young,146
cross,145
gun,145
huh,145
kick,145
kip,145
melissa,145
missing,145
radio,145
seesaw,145
smart,145
weekend,145
corn,144
forty,144
hate,144
shake,144
boy's,143
flying,143
ladder,143
spot,143
sweet,143
brett,142
debbie,142
dump,142
laughing,142
least,142
robert,142
couch,141
grey,141
painting,141
soft,141
blanket,140
bottles,140
christopher,140
dressed,140
hall,140
hee,140
knife,140
lamb,140
tom,140
carrot,139
himself,139
pound,139
barry,138
brodie,138
bug,138
movie,138
numbers,138
taken,138
towel,138
trip,138
unless,138
fifty,137
k,137
rug,137
bump,136
carrying,136
kept,136
lie,136
longer,136
pay,136
tuesday,136
y,136
backwards,135
eats,135
wonderful,135
cromer,134
danny,134
except,134
judy,134
kinds,134
liked,134
snowman,134
aah,133
heart,133
presents,133
simon,133
allright,132
bathtub,132
belong,132
beside,132
gas,132
honestly,132
tight,132
crayon,131
hoo,131
julie,131
quickly,131
todd,131
changed,130
chew,130
figure,130
nicola,130
puppet,130
stool,130
sweetie,130
we'd,130
allowed,129
crazy,129
hop,129
jennifer,129
lights,129
penny,129
shoot,129
thinks,129
visit,129
courtney,128
dishes,128
dream,128
james,128
key,128
magic,128
medicine,128
peter's,128
shape,128
yum,128
chips,127
church,127
hammer,127
la,127
napkin,127
richard,127
shh,127
spaghetti,127
giraffe,126
neck,126
son,126
speak,126
sweater,126
tickle,126
using,126
answer,125
balloons,125
chantilly,125
crackers,125
feeling,125
l,125
pocketbook,125
walked,125
barn,124
cindy,124
fifteen,124
good-bye,124
king,124
press,124
puppy,124
sh,124
sweetheart,124
win,124
zoe,124
beds,123
dough,123
kayode,123
meant,123
starts,123
stretched,123
hours,122
dollars,121
during,121
johnny,121
married,121
motor,121
pair,121
perhaps,121
puts,121
salad,121
sharp,121
william,121
dinosaurs,120
doggy,120
er,120
jerry,120
pan,120
pillow,120
rope,120
asking,119
bringing,119
bucket,119
f,119
girl's,119
kinda,119
lynette,119
oven,119
plastic,119
playdough,119
send,119
soap,119
accident,118
belongs,118
plant,118
question,118
stove,118
wagon,118
windows,118
broom,117
delicious,117
hanging,117
pipe,117
throwing,117
dollar,116
office,116
seems,116
slippers,116
alligator,115
cart,115
lap,115
life,115
pancakes,115
whoa,115
bench,114
birdie,114
closet,114
fruit,114
herself,114
pajamas,114
zebra,114
chickens,113
fair,113
fits,113
kit,113
pass,113
pushing,113
trucks,113
turkey,113
bam,112
